G1,G2,G3,G4,G5,G6,G7,G8,G9,G10,G11,G12,G13,G14,G15,G16,G17,G18,G19,G20,G21,G22,G23,G24,G25,G26,G27,G28,G29,G30,G31,G32,G33,G34,G35,G36,G37,G38,G39,G40,G41,G42,G43,G44,G45,G46,G47,G48,G49,G50,G51,G52,G53,G54,G55,G56,G57,G58,G59,G60,I1,I2,I3,I5,I6,I7,I8,I9,I10,I13,I14,I15,I16,I17,I18,I19,I21,I22,I24,I25,I26,I27,I28,I29,I30,I31,I33,B2,B3,B4,B6,B7,B9,B11,B12,B13,B15,B16,B17,B19,B22,B23,B24,B28,B29,B30,B31,B32,B33,B34,B35,quiz1,quiz2,S1T1_1,S1T1_2,S1T1_3,S1T2_1,S1T2_2,S1T2_3,S1T3_1,S1T3_2,S1T3_3,S1T4_1,S1T4_2,S1T4_3,S1T5_1,S1T5_2,S1T5_3,S2T1_1,S2T1_2,S2T1_3,S2T2_1,S2T2_2,S2T2_3,S2T3_1,S2T3_2,S2T3_3,S2T4_1,S2T4_2,S2T4_3,S2T5_1,S2T5_2,S2T5_3,S3T1_1,S3T1_2,S3T1_3,S3T2_1,S3T2_2,S3T2_3,S3T3_1,S3T3_2,S3T3_3,S3T4_1,S3T4_2,S3T4_3,S3T5_1,S3T5_2,S3T5_3,S4T1_1,S4T1_2,S4T1_3,S4T2_1,S4T2_2,S4T2_3,S4T3_1,S4T3_2,S4T3_3,S4T4_1,S4T4_2,S4T4_3,S4T5_1,S4T5_2,S4T5_3,GF1,GF2,GF3,GF4,GF5,GF6,GF7,GF8,GF9,GF10,GF11,GF12,GF13,GF14,GF15,GF16,GF17,GF18,GF19,GF20,GF21,GF22,GF23,GF24,GF25,GF26,GF27,GF28,GF29,GF30,GF31,GF32,GF33,GF34,GF35,GF36,GF37,GF38,GF39,GF40,GF41,GF42,GF43,GF44,GF45,GF46,GF47,GF48,GF49,GF50,GF51,GF52,GF53,GF54,GF55,GF56,GF57,GF58,GF59,GF60,Age,Gender,Ethnicity,Ethnicity_6_TEXT,end_open,Best_effort_2,Feedback,PROLIFIC_PID,Quiz
4,4,3,4,4,4,5,4,5,4,4,4,4,3,4,4,4,3,4,4,2,3,4,3,2,3,4,3,2,3,4,3,4,3,4,3,2,3,4,3,4,3,4,5,4,3,4,4,3,4,5,4,3,4,5,4,3,4,5,4,4,4,4,4,4,3,3,3,3,3,4,4,3,4,4,3,4,4,3,4,3,4,3,4,5,4,3,4,3,4,4,3,4,4,3,4,4,4,3,3,4,3,3,4,3,4,3,4,1,5,3,1,"2,4",1,3,2,2,3,1,2,3,1,2,3,1,1,3,2,2,3,1,2,1,3,3,2,1,2,3,1,3,1,2,3,2,1,1,3,2,1,3,2,1,2,3,1,2,3,2,3,1,2,1,3,3,2,1,3,1,2,2,1,3,2,1,3,1,2,3,1,3,2,3,1,2,2,1,3,2,1,3,2,3,1,2,3,1,2,3,1,1,3,2,2,3,1,1,3,2,2,3,1,1,3,2,1,3,2,2,3,1,2,3,1,2,3,1,2,3,1,2,3,1,33,Male,2,,it was good overall,1,all good ,6696cb900298e5e424ddbb00,0
5,5,5,5,5,4,4,2,4,2,4,3,2,5,3,2,2,4,4,3,4,4,3,5,2,2,1,3,1,5,4,3,4,4,4,4,2,1,4,4,5,4,2,1,2,3,3,3,2,2,4,2,4,4,1,1,1,2,2,1,1,2,1,2,1,1,1,1,2,5,5,5,5,5,5,5,5,3,5,5,5,5,5,5,5,2,2,2,2,2,5,2,2,5,2,2,4,3,3,1,1,1,1,1,1,1,5,1,1,4,2,1,4,2,1,3,3,2,1,1,2,3,1,3,2,1,3,2,2,1,3,3,1,2,3,2,1,3,2,1,3,1,2,2,1,3,2,1,3,1,2,3,1,2,3,2,3,1,2,1,3,3,1,2,2,1,3,3,1,2,3,1,2,2,3,1,2,1,3,1,3,2,3,1,2,2,1,3,2,1,3,1,3,2,2,3,1,2,1,3,2,3,1,1,2,3,1,3,2,3,2,1,2,1,3,2,3,1,1,2,3,2,3,1,3,1,2,3,2,1,1,2,3,33,Female,1,,At the start I answered questions about personality and influence tactics. At the end I ranked personality trait statements and influence tactics based on my preferences.,1,"I liked that I did not have to click ""next"" after each question but was moved automatically to another one. It was pleasant and faster than usual.",666b49dbabe453d50315738e,
5,4,5,4,5,3,2,2,5,3,3,2,2,2,2,1,2,2,4,2,4,2,2,4,3,4,2,2,1,3,2,3,2,1,2,2,2,1,2,2,4,2,2,2,2,2,3,2,2,2,2,2,1,3,2,2,1,2,2,2,2,2,1,2,1,1,1,3,1,4,4,4,4,4,4,4,4,3,5,5,4,5,5,5,5,1,2,1,1,5,4,1,4,3,1,1,3,4,1,2,1,1,2,1,2,3,3,1,1,4,2,1,"1,3,4",3,1,2,1,3,2,3,2,1,1,2,3,3,1,2,2,1,3,3,2,1,3,2,1,2,3,1,3,1,2,2,1,3,3,1,2,1,3,2,1,2,3,3,1,2,1,2,3,3,1,2,2,3,1,3,2,1,3,1,2,1,3,2,2,1,3,2,3,1,2,1,3,2,1,3,2,1,3,2,3,1,2,3,1,2,1,3,2,3,1,3,1,2,3,1,2,1,3,2,3,1,2,2,1,3,3,1,2,1,3,2,1,3,2,1,2,3,2,3,1,42,Female,1,,Looking at influence and how comfortable you are with different ways of doing it. ,1,Interesting and thought provoking ,5c59390c34bba40001b72c23,
5,4,4,4,4,4,2,2,3,4,2,2,3,4,4,2,2,4,4,3,3,3,4,4,2,4,4,4,2,2,4,2,4,2,4,4,4,3,4,4,4,3,2,2,2,4,2,2,2,2,1,1,1,2,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,4,4,1,1,4,4,1,1,1,4,4,4,4,4,4,4,1,1,1,1,1,4,1,1,4,1,1,1,4,1,1,1,1,1,1,4,1,4,1,1,1,1,1,"1,3,4",3,1,2,3,2,1,1,3,2,2,3,1,1,3,2,2,3,1,1,3,2,1,2,3,3,2,1,3,1,2,3,2,1,1,2,3,1,3,2,1,2,3,1,3,2,3,1,2,1,2,3,2,3,1,3,1,2,2,1,3,2,3,1,1,3,2,2,3,1,2,1,3,2,1,3,3,2,1,1,2,3,2,1,3,3,1,2,1,2,3,1,3,2,3,2,1,2,3,1,3,2,1,3,2,1,1,3,2,1,3,2,1,3,2,2,1,3,1,2,3,27,FEMALE,1,,"Rank personality traits, choose how willing I would be to do x, y, z to manipulate person b, rank actions.",1,,616592c3935273ae20991a1e,
5,5,5,4,5,4,2,2,4,2,4,2,2,4,3,2,4,3,2,5,5,3,4,4,4,4,4,2,2,3,2,4,4,2,4,4,3,2,5,1,5,4,4,3,5,4,4,3,3,4,2,3,2,4,2,4,3,2,3,4,2,2,1,1,1,1,1,1,1,3,4,4,4,4,4,3,2,2,4,4,2,4,4,4,4,1,2,2,2,4,4,1,5,4,2,2,4,4,2,1,1,1,1,1,4,2,3,2,1,4,2,1,"1,3,4",3,1,2,3,2,1,3,2,1,1,3,2,2,3,1,3,1,2,3,1,2,3,2,1,3,1,2,3,2,1,2,1,3,1,3,2,1,3,2,2,1,3,3,2,1,2,1,3,3,2,1,1,3,2,3,1,2,3,1,2,2,3,1,2,1,3,3,2,1,3,1,2,2,3,1,3,1,2,3,2,1,3,1,2,3,1,2,2,3,1,3,1,2,3,2,1,2,3,1,3,1,2,2,3,1,1,2,3,1,3,2,1,3,2,3,1,2,3,1,2,36,Male,1,,I was asked to say about my feelings and how I would treat another person in certain situations (person B). Then went on to rank my feelings and situations.,1,"Good survey, made me think about my state of mind.",6684474407538635a31d87a8,
4,4,4,5,4,4,4,5,4,3,4,2,4,2,4,2,2,2,3,2,4,2,4,2,3,2,5,2,2,4,2,2,4,2,2,2,4,1,2,1,4,4,2,2,1,1,2,4,3,2,2,2,2,1,1,1,1,1,2,1,2,2,1,1,2,3,2,4,1,5,4,3,3,5,5,4,2,2,4,4,4,4,5,5,5,2,2,2,1,4,4,1,2,4,1,1,1,4,1,1,1,1,1,1,2,1,2,1,1,4,3,2,"1,3,4",1,2,3,3,1,2,1,3,2,1,3,2,1,3,2,2,1,3,3,1,2,3,2,1,2,3,1,3,1,2,2,1,3,3,1,2,1,2,3,1,2,3,3,1,2,1,2,3,3,2,1,1,3,2,2,1,3,2,1,3,3,1,2,1,2,3,2,1,3,3,1,2,1,3,2,3,2,1,3,1,2,3,2,1,2,3,1,2,1,3,3,2,1,1,2,3,1,2,3,3,2,1,2,1,3,3,2,1,1,2,3,2,1,3,3,2,1,1,2,3,48,male,1,,the questions was how i would deal with people in a work place to get them to do a project by using different tactics.  this was also showing how i would feel on asking or using emotional feelings to get what you wanted or abusive behavior.  Coaxing the person to do what is needed.,1,i enjoyed the project it made me look into myself and understand how i would attempt to influence others to get whats needed.  A good study.,66e6b10658073c9fd11541e6,0
5,5,5,5,3,2,4,2,2,4,4,2,3,4,2,3,5,2,3,4,3,3,2,2,5,4,2,4,2,2,2,2,2,2,4,2,4,3,2,2,3,2,2,5,2,3,2,2,4,2,2,2,2,2,2,4,2,2,2,2,2,2,1,2,1,2,2,2,2,3,3,3,3,4,4,3,3,2,4,4,4,4,4,4,4,2,2,1,1,2,4,2,2,4,2,2,3,4,2,2,2,1,2,1,2,2,3,2,1,3,2,1,"1,3,4",3,1,2,3,1,2,2,3,1,2,3,1,1,3,2,3,2,1,3,2,1,3,2,1,3,2,1,3,1,2,3,1,2,1,2,3,1,2,3,1,2,3,1,3,2,1,2,3,3,2,1,2,3,1,3,2,1,2,1,3,2,3,1,1,2,3,1,2,3,2,1,3,2,1,3,2,1,3,2,1,3,1,2,3,1,2,3,1,2,3,1,3,2,3,1,2,1,2,3,2,1,3,2,1,3,1,2,3,1,3,2,1,2,3,3,1,2,3,2,1,36,Female ,1,,You asked me to rate behaviours in order of how I believe I would be capable of acting in order to get someone to do what I ask of them,1,,661fc9e51715b20fe6a72e5e,
5,5,5,5,1,4,5,1,4,5,5,1,5,3,3,3,4,4,1,2,1,5,1,4,5,3,3,5,2,3,1,1,5,2,5,5,4,2,5,1,1,3,3,2,1,1,1,4,2,1,1,4,1,1,1,5,1,1,1,1,4,4,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,1,4,2,4,4,5,1,3,5,1,1,4,5,5,3,1,1,5,1,4,3,5,1,1,5,2,1,4,3,1,2,2,1,3,2,3,1,3,2,1,1,2,3,3,2,1,3,1,2,2,3,1,1,2,3,3,1,2,1,3,2,2,1,3,1,2,3,1,2,3,1,2,3,2,1,3,3,1,2,1,2,3,1,3,2,3,1,2,1,2,3,1,3,2,1,3,2,2,1,3,1,3,2,2,1,3,2,3,1,1,3,2,1,2,3,1,3,2,2,3,1,3,1,2,2,3,1,2,3,1,1,2,3,1,3,2,2,1,3,1,3,2,2,1,3,3,1,2,21,Female,1,,"I was asked about tactics on human behavior, how i would get an individual to do things i want.",1,Thank you for the study.,66d91b7c075042447790dc00,
4,5,2,4,3,2,4,2,2,2,2,4,3,3,2,4,3,2,2,2,2,2,2,2,2,2,2,3,4,1,2,2,2,2,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,4,4,5,4,4,5,3,4,3,5,5,5,5,5,5,5,2,2,1,1,4,5,1,2,5,1,1,4,5,1,1,1,1,1,1,3,3,4,1,1,4,1,1,"1,2,3",2,1,3,3,1,2,1,3,2,1,3,2,1,3,2,3,1,2,2,3,1,3,2,1,3,2,1,3,1,2,3,2,1,1,2,3,1,3,2,1,3,2,2,3,1,2,1,3,3,2,1,1,3,2,3,2,1,3,1,2,2,1,3,1,2,3,1,2,3,2,3,1,2,1,3,1,2,3,1,3,2,2,1,3,2,1,3,2,1,3,1,3,2,3,1,2,1,3,2,2,1,3,1,2,3,2,1,3,1,2,3,1,3,2,2,1,3,2,3,1,31,Female,1,,pick what action and or traits i would use to get what i want from somebody ie manipulation,1,,6658b1b0d96a48e41e7e971a,0
5,5,4,3,4,3,2,3,3,1,5,3,2,3,3,1,3,3,5,1,5,1,3,3,4,5,3,1,1,5,5,5,4,3,1,1,3,3,3,3,5,3,3,4,5,5,3,3,3,2,5,1,5,1,1,1,3,2,4,1,1,2,1,1,1,1,3,1,1,4,4,3,3,4,4,2,3,3,5,4,5,4,4,3,3,1,1,1,1,1,4,1,1,4,1,1,3,4,1,1,1,1,1,1,3,3,1,1,1,1,1,1,"1,3,4",3,2,1,3,2,1,2,3,1,1,3,2,1,3,2,3,2,1,1,3,2,2,3,1,3,2,1,3,1,2,3,1,2,1,3,2,1,3,2,1,2,3,1,3,2,1,2,3,1,3,2,1,3,2,3,1,2,2,1,3,3,2,1,3,1,2,3,2,1,2,1,3,3,1,2,3,2,1,1,3,2,3,1,2,3,1,2,2,3,1,2,1,3,2,3,1,3,1,2,3,1,2,2,3,1,1,3,2,2,3,1,3,1,2,3,2,1,3,1,2,39,female,6,mixed - white/asian,"state how certain attributes apply to me and how willing I'd be to use certain methods to convince another person to do something for me, then rank them in sets of three based on my preference (for methods) and how much they apply to me (for attributes) ",1,,631610af8e747093cd90e00d,
4,4,4,3,5,5,5,1,2,2,3,3,2,5,2,2,3,3,4,2,4,1,2,5,2,3,2,3,1,4,2,4,4,2,3,5,4,2,4,2,4,2,4,3,4,2,3,1,4,2,4,2,2,2,2,2,2,2,4,2,1,1,1,1,1,1,1,1,1,4,4,1,3,4,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,5,1,1,1,1,1,1,1,"1,2,3,4",3,1,2,1,3,2,3,2,1,1,3,2,2,3,1,2,3,1,2,3,1,3,2,1,3,2,1,3,1,2,3,2,1,1,3,2,2,3,1,1,2,3,1,3,2,1,2,3,2,1,3,2,3,1,3,1,2,3,1,2,3,2,1,2,1,3,1,3,2,3,1,2,3,1,2,3,1,2,1,3,2,3,1,2,2,1,3,2,3,1,3,1,2,3,2,1,2,3,1,3,1,2,3,1,2,1,3,2,1,3,2,3,1,2,1,2,3,2,1,3,26,Female,1,,Choose what I am most likely to do/feel comfortable with when trying to get someone to do something for me,1,,659418dbd09d2ebf333b462d,0
